query,x[m],y[m],z[m],th[deg],ph[deg],query_pix,dilated_pix,lapse time[ms]
0,\workspa,e\UMap\S,N\gazebo,am\que,\query,4115,4115,277
DB No.,x[m],y[m],z[m],th[deg],ph[deg],A,B,Bcon,C,D,E,Econ,F,sim_index,SPV_and,SPV_in, SPV_db 
0000001,-010.000,-002.000,0000.200,0000.0,0000.0,3234,858,405,23,1863,12440,7463,43022,0.0715959,0,11,0
0000002,-009.950,-002.000,0000.200,0000.0,0000.0,3398,571,336,146,1996,13324,7835,42005,0.0788742,0,12,0
0000003,-009.900,-002.000,0000.200,0000.0,0000.0,2854,1234,626,27,2067,13728,8096,41530,0.105629,0,10,0
0000004,-009.850,-002.000,0000.200,0000.0,0000.0,2377,1704,793,34,2095,13969,8484,41261,0.133172,0,10,0
0000005,-009.800,-002.000,0000.200,0000.0,0000.0,2095,1773,852,247,1889,14040,8591,41396,0.183045,0,12,0
0000006,-009.750,-002.000,0000.200,0000.0,0000.0,2254,1708,1130,153,1990,14847,8932,40488,0.210156,0,11,0
0000007,-009.700,-002.000,0000.200,0000.0,0000.0,2106,1818,1035,191,1587,12333,7633,43405,0.215012,0,9,0
0000008,-009.650,-002.000,0000.200,0000.0,0000.0,2502,1365,889,248,1604,13909,8282,41812,0.198811,0,12,0
0000009,-009.600,-002.000,0000.200,0000.0,0000.0,2573,1407,884,135,1556,12128,7262,43641,0.179686,0,9,0
0000010,-009.550,-002.000,0000.200,0000.0,0000.0,2439,1622,869,54,1674,13222,7817,42429,0.15944,0,8,0
0000011,-009.500,-002.000,0000.200,0000.0,0000.0,1878,2082,1343,155,1574,14210,8011,41541,0.263315,0,9,0
0000012,-009.450,-002.000,0000.200,0000.0,0000.0,2415,1668,909,32,1708,16061,8979,39556,0.161601,0,8,0
0000013,-009.400,-002.000,0000.200,0000.0,0000.0,2642,1444,630,29,1676,14607,8373,41042,0.113797,0,8,0
0000014,-009.350,-002.000,0000.200,0000.0,0000.0,2049,1921,1095,145,1685,15216,8434,40424,0.213793,0,10,0
0000015,-009.300,-002.000,0000.200,0000.0,0000.0,2181,1909,1009,25,1646,14672,7989,41007,0.179483,0,10,0
0000016,-009.250,-002.000,0000.200,0000.0,0000.0,3332,769,303,14,1248,9988,5632,46089,0.0591087,0,9,0
0000017,-009.200,-002.000,0000.200,0000.0,0000.0,3528,563,184,24,1150,10670,5662,45505,0.0395062,0,9,0
0000018,-009.150,-002.000,0000.200,0000.0,0000.0,3005,1086,675,24,1218,8998,4942,47109,0.131071,0,9,0
0000019,-009.100,-002.000,0000.200,0000.0,0000.0,3610,495,282,10,1122,6089,3572,50114,0.0557571,0,10,0
0000020,-009.050,-002.000,0000.200,0000.0,0000.0,3600,395,242,120,1006,6507,3779,49812,0.0706893,0,10,0
0000021,-009.000,-002.000,0000.200,0000.0,0000.0,3584,518,328,13,1144,6814,3878,49367,0.0648412,0,9,0
0000022,-008.950,-002.000,0000.200,0000.0,0000.0,3238,859,308,18,1164,6910,4052,49251,0.0617541,0,9,0
0000023,-008.900,-002.000,0000.200,0000.0,0000.0,3120,976,363,19,1269,7009,4144,49047,0.070951,0,10,0
0000024,-008.850,-002.000,0000.200,0000.0,0000.0,3176,809,474,130,1229,7520,4245,48576,0.113024,0,11,0
0000025,-008.800,-002.000,0000.200,0000.0,0000.0,2880,1105,512,130,1408,7627,4476,48290,0.116241,0,11,0
0000026,-008.750,-002.000,0000.200,0000.0,0000.0,2763,1224,567,128,1322,8624,5205,47379,0.127828,0,10,0
0000027,-008.700,-002.000,0000.200,0000.0,0000.0,2872,1124,428,119,1416,9677,5826,46232,0.0988971,0,11,0
0000028,-008.650,-002.000,0000.200,0000.0,0000.0,3114,981,482,20,1477,11802,6548,44046,0.0897711,0,9,0
0000029,-008.600,-002.000,0000.200,0000.0,0000.0,2601,1484,767,30,1635,12373,6764,43317,0.138609,0,10,0
0000030,-008.550,-002.000,0000.200,0000.0,0000.0,3480,609,367,26,1660,14129,7611,41536,0.0680519,0,11,0
0000031,-008.500,-002.000,0000.200,0000.0,0000.0,3482,506,298,127,1381,11590,6175,44354,0.077329,0,10,0
0000032,-008.450,-002.000,0000.200,0000.0,0000.0,3249,845,350,21,1593,11494,6218,44238,0.0649965,0,10,0
0000033,-008.400,-002.000,0000.200,0000.0,0000.0,3024,1071,370,20,1619,11181,6223,44525,0.0680153,0,10,0
